2.62e9,-2.797704358297377*^-7-2.862316485067683*^-19*I
2.63e9,-2.7719752218308626*^-7+4.47877282810457*^-20*I
2.64e9,-2.7739482998630773*^-7-5.3948097129837644*^-20*I
2.65e9,-2.7888573313244124*^-7+1.6932727248153453*^-19*I
2.66e9,-2.656144592047495*^-7-2.3654594640906054*^-19*I
2.67e9,-2.754424340229761*^-7-1.0394219759367644*^-19*I
2.68e9,-2.962508047240614*^-7-1.0319435848099766*^-21*I
2.69e9,-2.869072616349759*^-7-1.8735689833490628*^-20*I
2.7e9,-2.906812301064565*^-7-6.33019449076253*^-20*I
2.71e9,-2.807812996219443*^-7+8.544469775434193*^-20*I
2.72e9,-2.765982332898054*^-7+1.0363933420483343*^-20*I
2.73e9,-2.8156155849669904*^-7-1.4759498438870918*^-19*I
2.74e9,-2.835776201014175*^-7-1.0135368357393868*^-19*I
2.75e9,-2.893431162895765*^-7-5.270580741152258*^-20*I
2.76e9,-2.897041071916206*^-7+8.1251645459763*^-20*I
2.77e9,-2.985214259118326*^-7+1.1570785498173542*^-19*I
2.78e9,-2.9253534717685207*^-7+9.419713388757415*^-20*I
2.79e9,-2.889636244588632*^-7+6.586840092142128*^-20*I
2.8e9,-2.8906594561447236*^-7+8.155621839726057*^-20*I
2.81e9,-2.891314639913244*^-7+3.8700557302790836*^-20*I
2.82e9,-2.879489739833704*^-7+1.9087259584737408*^-21*I
2.83e9,-2.8491958883109356*^-7+5.435430472681772*^-20*I
2.84e9,-2.8829425410096884*^-7+3.555614734475083*^-20*I
2.85e9,-2.878731464618325*^-7-1.3552447011208354*^-19*I
2.86e9,-3.4744569090223153*^-7+3.396536096695519*^-21*I
2.87e9,-2.8576232163884695*^-7+4.736284351363679*^-20*I
2.88e9,-2.858432385257233*^-7-2.5292268609754315*^-20*I
2.89e9,-2.858872114258337*^-7-5.100260228498059*^-20*I
2.9e9,-2.8564330860334135*^-7-1.3425030249674873*^-20*I
2.91e9,-2.8664879510404096*^-7+6.365193315785947*^-20*I
2.92e9,-2.859643774031313*^-7+5.328111801194764*^-20*I
2.93e9,-3.4646299069202225*^-7+9.675801978593264*^-20*I
2.94e9,-2.853410317366071*^-7-3.2436400962941116*^-21*I
2.95e9,-3.3990772690518635*^-7-4.3171278622259696*^-21*I
2.96e9,-2.7288652644493704*^-7-6.633313616200226*^-20*I
2.97e9,-2.7641087071761394*^-7+6.628521601972533*^-20*I
2.98e9,-2.7648034954747984*^-7-5.781558156274894*^-20*I
2.99e9,-2.768149970038042*^-7-8.91163309967107*^-21*I
3.e9,-2.7542033757638963*^-7+4.7516356575221064*^-20*I
3.01e9,-2.8223805601111615*^-7+6.050145663772719*^-20*I
3.02e9,-2.7842295968304024*^-7-3.2872717810947045*^-20*I
3.03e9,-2.7366141743748895*^-7-6.304492048503167*^-20*I
3.04e9,-2.7205993780637224*^-7+4.0255520466910096*^-20*I
3.05e9,-2.768750520470006*^-7+2.0046367037886323*^-19*I
3.06e9,-2.806025483545353*^-7-6.970506159660559*^-20*I
3.07e9,-2.812010860883521*^-7-5.076098338937526*^-20*I
3.08e9,-2.775405129194324*^-7+1.3518816043405523*^-19*I
3.09e9,-2.866792614263081*^-7+7.857629897849782*^-20*I
3.1e9,-2.7036721551743783*^-7-2.188009750642572*^-19*I
3.11e9,-2.697434488654747*^-7+1.788151347463348*^-19*I
3.12e9,-2.4692989267142855*^-7-3.5342792836489675*^-19*I
3.13e9,-2.6676977172103374*^-7-4.974191473400512*^-19*I
3.14e9,-3.0752479743609833*^-7-5.107931875112398*^-19*I
3.15e9,-3.4307497406228493*^-7-3.321370177741055*^-19*I
3.16e9,-2.767143766235085*^-7+8.907766789643546*^-19*I
3.17e9,-2.8243929758914315*^-7+7.584390609214412*^-19*I
3.18e9,-3.1518092636384985*^-7+2.7827319505275546*^-19*I
3.19e9,-3.0116158498243165*^-7+1.5359044335064595*^-19*I
3.2e9,-2.794614491544626*^-7+3.5200700128135854*^-19*I
3.21e9,-2.7686672621501*^-7-2.9760585225446357*^-19*I
3.22e9,-2.683666784264866*^-7+6.557669897883107*^-20*I
3.23e9,-2.826999170252192*^-7+6.696037545713077*^-20*I
3.24e9,-2.6903803050602604*^-7+7.66766826917176*^-20*I
3.25e9,-2.665023679873423*^-7+9.585048622699718*^-21*I
3.26e9,-2.813526258513454*^-7-4.0092640074341066*^-20*I
3.27e9,-2.817783402748045*^-7-2.919536057611244*^-21*I
3.28e9,-2.789356749272371*^-7-2.6529965596385506*^-20*I
3.29e9,-2.8189906028969674*^-7+9.872150421113899*^-20*I
3.3e9,-2.837629947576682*^-7-7.37914473421633*^-20*I
